-------------------------
Time: 2025-06-14 04:02:00 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040151_gpt2_dora
Training started at: 2025-06-14 04:02:02
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 06:06:38 | *** Validation Epoch 6 End ***
  - Val Loss: 0.3449
  - Val Acc:  0.8392
  - Val F1:   0.8305
-------------------------
Time: 2025-06-14 06:07:00 | Step: 15500 | Train Loss: 0.3477
Time: 2025-06-14 06:07:23 | Step: 15550 | Train Loss: 0.3908
Time: 2025-06-14 06:07:45 | Step: 15600 | Train Loss: 0.3311
Time: 2025-06-14 06:08:08 | Step: 15650 | Train Loss: 0.3603
Time: 2025-06-14 06:08:30 | Step: 15700 | Train Loss: 0.3175
Time: 2025-06-14 06:08:53 | Step: 15750 | Train Loss: 0.3842
Time: 2025-06-14 06:09:15 | Step: 15800 | Train Loss: 0.2402
Time: 2025-06-14 06:09:38 | Step: 15850 | Train Loss: 0.3719
Time: 2025-06-14 06:10:00 | Step: 15900 | Train Loss: 0.4004
Time: 2025-06-14 06:10:23 | Step: 15950 | Train Loss: 0.3572
Time: 2025-06-14 06:10:46 | Step: 16000 | Train Loss: 0.3931
